City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,46.17,98,100,29.42,TF,1684881851
1,at-bashi,41.1702,75.8106,48.02,89,94,1.39,KG,1684881851
2,grytviken,-54.2811,-36.5092,35.42,82,31,10.67,GS,1684881852
3,udachny,66.4167,112.4,35.46,80,59,12.37,RU,1684881852
4,waitangi,-43.9535,-176.5597,55.81,95,2,4.0,NZ,1684881852
5,queenstown,-31.8976,26.8753,48.47,46,4,4.76,ZA,1684881633
6,richards bay,-28.783,32.0377,62.62,88,64,6.78,ZA,1684881852
7,whitehorse,60.7161,-135.0538,64.81,23,40,5.75,CA,1684881722
8,adamstown,-25.066,-130.1015,76.64,87,75,30.15,PN,1684881852
9,verkhnedneprovskiy,54.9813,33.3457,52.95,95,99,5.01,RU,1684881852
10,saldanha,-33.0117,17.9442,48.25,85,98,6.06,ZA,1684881852
11,hermanus,-34.4187,19.2345,51.8,75,71,3.18,ZA,1684881650
12,puerto real,36.5282,-6.1901,62.76,88,40,3.44,ES,1684881852
13,ribeira grande,38.5167,-28.7,63.77,82,13,11.01,PT,1684881852
14,albany,42.6001,-73.9662,74.17,53,26,3.0,US,1684881852
15,olonkinbyen,70.9221,-8.7187,33.96,99,100,9.08,SJ,1684881852
16,ushuaia,-54.8,-68.3,42.46,93,100,3.44,AR,1684881853
17,birmitrapur,22.4,84.7667,84.85,30,59,2.37,IN,1684881853
18,edinburgh of the seven seas,-37.0676,-12.3116,56.48,67,71,26.6,SH,1684881853
19,fort bragg,35.139,-79.006,77.14,33,20,14.97,US,1684881853
20,koratla,18.8167,78.7167,90.25,36,38,1.68,IN,1684881853
21,nikolayevsk-on-amure,53.1406,140.73,51.33,63,93,3.74,RU,1684881661
22,susuman,62.7833,148.1667,37.22,99,100,2.62,RU,1684881853
23,saint-pierre,-21.3393,55.4781,74.88,73,100,2.3,RE,1684881651
24,carnarvon,-24.8667,113.6333,68.65,70,98,6.8,AU,1684881854
25,vilyuchinsk,52.9306,158.4028,44.26,90,86,4.81,RU,1684881644
26,orito,0.6766,-76.8771,75.78,90,99,0.47,CO,1684881854
27,port lincoln,-34.7333,135.8667,58.19,67,64,16.26,AU,1684881854
28,isafjordur,66.0755,-23.124,36.99,97,100,33.06,IS,1684881689
29,remire-montjoly,4.9167,-52.2667,78.84,83,0,3.44,GF,1684881854
